,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
秩然不紊,0.0,1.0,0.0
引起反感,1.0,0.0,0.0
足智多谋,0.0,1.0,0.0
巴不得,0.0,1.0,0.0
沮丧,1.0,0.0,0.0
眼巴巴,1.0,0.0,0.0
文不加点,0.0,1.0,0.0
似是而非,1.0,0.0,0.0
批,1.0,0.0,0.0
密切,0.0,1.0,0.0
火暴,1.0,1.0,0.0
凭白无故,1.0,0.0,0.0
周至,0.0,1.0,0.0
重视,0.0,1.0,0.0
呆住,1.0,0.0,0.0
无聊,1.0,0.0,0.0
当头棒喝,1.0,0.0,0.0
饶爽,0.0,1.0,0.0
玄妙,0.0,1.0,0.0
黑漆漆,1.0,0.0,0.0
不利于健康,1.0,0.0,0.0
谬奖,0.0,1.0,0.0
耳生,1.0,0.0,0.0
畸,1.0,0.0,0.0
无用,1.0,0.0,0.0
示怒,1.0,0.0,0.0
不周到,1.0,0.0,0.0
过意不去,1.0,0.0,0.0
找碴,1.0,0.0,0.0
聪明绝顶,0.0,1.0,0.0
踊跃,0.0,1.0,0.0
憋得慌,1.0,0.0,0.0
优美,0.0,1.0,0.0
反哺,0.0,1.0,0.0
激进,0.0,1.0,0.0
肯,0.0,1.0,0.0
苍白无力,1.0,0.0,0.0
暴跳如雷,1.0,0.0,0.0
惨厉,1.0,0.0,0.0
威严,0.0,1.0,0.0
变通,0.0,1.0,0.0
幸运,0.0,1.0,0.0
有所作为,0.0,1.0,0.0
亭匀,0.0,1.0,0.0
眄,0.0,1.0,0.0
漠然置之,1.0,0.0,0.0
别具匠心,0.0,1.0,0.0
草木皆兵,1.0,0.0,0.0
蠢,1.0,0.0,0.0
慈祥,0.0,1.0,0.0
郁闷,1.0,0.0,0.0
狠抓,0.0,1.0,0.0
敞口,0.0,1.0,0.0
丑恶,1.0,0.0,0.0
麻烦,1.0,0.0,0.0
无关大局,1.0,0.0,0.0
埋怨,1.0,0.0,0.0
黑漆寥光,1.0,0.0,0.0
祟,1.0,0.0,0.0
不厌其详,0.0,1.0,0.0
逍遥,0.0,1.0,0.0
喜洋洋,0.0,1.0,0.0
实打实,0.0,1.0,0.0
大惊失色,1.0,0.0,0.0
衍,1.0,0.0,0.0
不快,1.0,0.0,0.0
怏然,1.0,0.0,0.0
体谅,1.0,0.0,0.0
病恹恹,1.0,0.0,0.0
琦,0.0,1.0,0.0
凛然,1.0,0.0,0.0
迫切需要,0.0,1.0,0.0
含蓄,1.0,1.0,0.0
发愣,1.0,0.0,0.0
瞀,1.0,0.0,0.0
毫无问题,0.0,1.0,0.0
铮铮,0.0,1.0,0.0
大喜过望,0.0,1.0,0.0
迎迓,0.0,1.0,0.0
光可鉴人,0.0,1.0,0.0
单薄,1.0,0.0,0.0
年富力强,0.0,1.0,0.0
曾经沧海,0.0,1.0,0.0
精力充沛,0.0,1.0,0.0
巴望,0.0,1.0,0.0
嘲骂,1.0,0.0,0.0
念,0.0,1.0,0.0
垂涎,0.0,1.0,0.0
哀矜,1.0,0.0,0.0
拙笨,1.0,0.0,0.0
明晃晃,0.0,1.0,0.0
沉静,0.0,1.0,0.0
忠耿,0.0,1.0,0.0
嫌厌,1.0,0.0,0.0
活络,0.0,1.0,0.0
深恶痛绝,1.0,0.0,0.0
惧,1.0,0.0,0.0
凹凸不平,1.0,0.0,0.0
欣然,0.0,1.0,0.0
只听楼梯响，不见人下来,1.0,0.0,0.0
絮聒,1.0,0.0,0.0
顺口,0.0,1.0,0.0
持正不阿,0.0,1.0,0.0
隐隐约约,1.0,0.0,0.0
明理,0.0,1.0,0.0
放荡不羁,1.0,0.0,0.0
表示坏情感,1.0,0.0,0.0
不愧,0.0,1.0,0.0
酸刻,1.0,0.0,0.0
纷乱,1.0,0.0,0.0
木头木脑,1.0,0.0,0.0
清晰明了,0.0,1.0,0.0
意马心猿,1.0,0.0,0.0
臭名昭著,1.0,0.0,0.0
看得上眼,0.0,1.0,0.0
惊恐,1.0,0.0,0.0
关心,0.0,1.0,0.0
发育不全,1.0,0.0,0.0
完美无疵,0.0,1.0,0.0
不受欢迎,1.0,0.0,0.0
芬芳袭人,0.0,1.0,0.0
骇怪,1.0,0.0,0.0
希图,0.0,1.0,0.0
花哨,1.0,1.0,0.0
高标号,0.0,1.0,0.0
清幽,0.0,1.0,0.0
有功,0.0,1.0,0.0
暧,1.0,0.0,0.0
饫,0.0,1.0,0.0
怔,1.0,0.0,0.0
讷,1.0,0.0,0.0
